Tahun,Provinsi,sisa_makanan,kayu_ranting,kertas_karton,plastik,logam,kain,karet_kulit,kaca,lainnya
2022,Kalimantan Barat,76.0,0.0,8.4,7.8,3.6,0.0,0.0,0.0,4.2
2022,Kalimantan Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kalimantan Tengah,80.0,12.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0
2022,Kalimantan Tengah,30.0,12.0,14.0,20.0,5.0,5.0,2.0,2.0,10.0
2022,Kalimantan Tengah,30.0,15.0,10.5,25.0,2.0,1.5,5.0,2.5,8.5
2022,Kalimantan Tengah,18.0,10.0,10.0,50.0,3.0,0.5,2.0,1.0,5.5
2022,Kalimantan Tengah,23.51,26.74,13.31,25.13,3.19,2.41,0.83,1.79,3.09
2022,Kalimantan Tengah,20.0,10.0,10.0,25.0,2.0,8.0,4.0,5.0,16.0
2022,Kalimantan Tengah,32.0,9.0,7.0,37.0,1.0,5.0,6.5,1.2,1.3
2022,Kalimantan Tengah,42.05,4.33,8.54,19.49,1.28,2.36,2.18,2.04,17.73
2022,Kalimantan Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kalimantan Selatan,52.5,2.3,5.6,23.1,0.8,1.6,0.7,1.6,11.8
2022,Kalimantan Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kalimantan Selatan,59.5,9.5,10.5,12.0,3.1,1.9,0.5,2.0,1.0
2022,Kalimantan Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kalimantan Selatan,55.18,1.48,13.13,25.35,2.9,0.46,0.9,0.4,0.2
2022,Kalimantan Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kalimantan Selatan,36.0,2.0,17.0,24.0,1.0,3.0,1.0,3.0,13.0
2022,Kalimantan Selatan,64.04,4.23,3.2,12.3,2.1,2.2,1.24,2.23,8.46
2022,Kalimantan Selatan,57.46,10.24,10.95,14.62,2.06,1.67,0.72,1.2,1.08
2022,Kalimantan Selatan,0.0,51.24,0.43,32.35,0.86,0.0,0.0,0.52,14.6
2022,Kalimantan Timur,54.99,0.22,10.2,13.64,1.38,13.56,1.2,3.52,1.29
2022,Kalimantan Timur,73.92,0.98,10.43,7.86,2.04,1.57,0.55,1.75,0.9
2022,Kalimantan Timur,55.39,1.28,3.74,26.47,9.63,0.2,0.2,0.99,2.1
2022,Kalimantan Timur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Kalimantan Timur,42.0,20.0,8.0,23.0,3.0,1.0,1.0,1.0,1.0
2022,Kalimantan Timur,46.13,1.09,20.87,29.83,0.22,0.02,0.67,0.83,0.34
2022,Kalimantan Timur,50.0,5.0,8.0,30.0,3.0,1.0,1.0,1.0,1.0
2022,Kalimantan Timur,42.3,6.36,10.26,7.2,3.87,2.94,0.98,6.56,19.53
2022,Kalimantan Timur,53.39,7.0,17.0,19.9,0.65,0.62,0.06,0.92,0.46
2022,Kalimantan Timur,44.12,6.0,27.5,18.0,2.1,0.03,0.25,1.05,0.95
2022,Kalimantan Utara,46.4,8.2,23.4,21.3,0.2,0.2,0.1,0.1,0.1
2022,Kalimantan Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Utara,49.98,14.52,8.5,10.8,4.05,3.33,2.9,2.32,3.6
2022,Sulawesi Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Utara,45.1,6.89,5.2,32.0,0.4,3.3,0.5,2.0,4.61
2022,Sulawesi Utara,20.0,12.0,12.0,36.0,4.0,4.0,5.0,2.0,5.0
2022,Sulawesi Utara,45.55,15.5,13.65,16.35,1.25,1.55,2.35,2.35,1.45
2022,Sulawesi Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Utara,30.0,25.0,5.0,30.0,1.0,5.0,1.0,3.0,0.0
2022,Sulawesi Utara,25.0,10.0,20.0,30.0,4.0,5.0,3.0,3.0,0.0
2022,Sulawesi Utara,1.0,20.0,3.0,5.0,0.0,2.0,1.0,3.0,65.0
2022,Sulawesi Utara,7.0,35.0,5.0,7.0,3.0,9.0,4.0,3.0,27.0
2022,Sulawesi Utara,47.7,1.14,18.66,19.48,0.26,1.54,1.49,1.85,7.88
2022,Sulawesi Utara,50.2,2.05,16.03,15.07,0.36,1.48,1.37,1.83,11.61
2022,Sulawesi Utara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Utara,53.5,5.0,11.8,8.5,5.7,3.6,2.6,2.8,6.5
2022,Sulawesi Tengah,33.0,12.0,21.0,15.0,6.0,3.0,2.0,2.0,6.0
2022,Sulawesi Tengah,35.0,10.0,20.0,13.0,6.0,3.0,3.0,3.0,7.0
2022,Sulawesi Tengah,2.2,3.0,2.5,8.88,3.1,1.5,2.0,0.2,3.0
2022,Sulawesi Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Tengah,70.96,0.77,9.44,10.43,1.9,1.06,0.6,0.59,4.25
2022,Sulawesi Selatan,50.0,8.17,15.0,15.0,4.9,2.6,3.5,0.5,0.33
2022,Sulawesi Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Selatan,30.13,27.5,11.0,14.0,1.24,3.0,2.0,1.13,10.0
2022,Sulawesi Selatan,28.0,17.0,9.5,19.5,5.5,1.5,4.0,2.0,13.0
2022,Sulawesi Selatan,31.5,13.0,31.09,14.68,8.2,0.87,0.44,0.08,0.14
2022,Sulawesi Selatan,52.3,1.0,10.1,10.7,3.1,0.5,1.1,1.1,20.1
2022,Sulawesi Selatan,75.42,9.85,3.18,6.69,2.21,0.11,0.14,0.12,2.28
2022,Sulawesi Selatan,63.13,10.83,8.99,7.29,6.5,0.72,0.19,1.55,0.8
2022,Sulawesi Selatan,60.0,10.0,6.0,15.0,2.0,1.0,1.0,1.0,4.0
2022,Sulawesi Selatan,42.0,17.0,11.0,21.0,3.16,0.5,4.24,0.15,0.95
2022,Sulawesi Selatan,41.1,17.34,7.1,17.03,2.03,3.9,6.49,2.9,2.11
2022,Sulawesi Selatan,56.0,9.6,6.2,6.6,4.5,3.6,4.2,4.4,4.9
2022,Sulawesi Selatan,10.0,10.0,40.0,10.0,10.0,5.0,5.0,5.0,5.0
2022,Sulawesi Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Selatan,40.0,10.0,25.0,15.0,3.0,1.0,2.0,2.0,2.0
2022,Sulawesi Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Sulawesi Selatan,52.2,11.4,11.8,12.2,2.7,1.9,2.25,2.85,2.7
2022,Sulawesi Selatan,30.0,20.0,20.0,20.0,8.0,0.0,0.0,0.0,2.0
2022,Sulawesi Tenggara,65.0,5.0,10.0,10.0,5.0,1.0,1.0,2.0,1.0
2022,Sulawesi Tenggara,40.0,7.0,8.0,30.0,5.0,3.0,2.0,2.0,3.0
2022,Sulawesi Tenggara,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0
2022,Sulawesi Tenggara,65.83,3.36,4.52,12.48,1.44,3.79,1.95,1.89,4.74
2022,Sulawesi Tenggara,43.65,17.44,16.78,17.25,1.54,0.72,1.06,1.16,0.4
2022,Sulawesi Tenggara,4.27,6.1,0.0,0.61,0.0,0.0,0.0,0.0,87.82
